major_id,name,course_code_prefix,credit,course_type
,한국사의이해,U762672,2,GENERAL
,행복론,Y911541,2,GENERAL
,현대사회와철학,U515032,2,GENERAL
,현대사회의윤리문제,U042023,2,GENERAL
,21세기마케팅의이해,U718372,2,GENERAL
,21세기미디어외교의이해,U531382,2,GENERAL
,가족생활과법,Y211321,2,GENERAL
,광고.PR의이해,U762692,2,GENERAL
,국가와사회: 민주주의의이해,Y512261,2,GENERAL
,국제관계의이해,U741111,2,GENERAL
,국제사회와국제기구,U762702,2,GENERAL
,국제화시대의경영,U762722,2,GENERAL
,극지와사람,U761412,2,GENERAL
,기업회계의기초원리,U762732,2,GENERAL
,동서양문화와소비심리,Y911411,2,GENERAL
,민법의이해,U741101,2,GENERAL
,방송.영상의이해,U762782,2,GENERAL
,범죄와수사,Y211383,2,GENERAL
,법과역사로의산책,Y911431,2,GENERAL
,법률과일상생활,Y211882,2,GENERAL
,법으로풀어가는정치,Y911441,2,GENERAL
,북한의정치와사회,U042082,2,GENERAL
,비즈니스협상,U762792,2,GENERAL
,실용금융,U760091,2,GENERAL
,심리학의이해,U514031,2,GENERAL
,여성과사회,U762832,2,GENERAL
,영화속에서본정치,U722022,2,GENERAL
,외교에대한이해,U764031,2,GENERAL
,위기관리와국가정보,Y911471,2,GENERAL
,증권시장의이해,U762882,2,GENERAL
,한국글로벌기업마케팅,Y911632,2,GENERAL
,한국사회의이해,U763452,2,GENERAL
,한국정부의이해,C022055,2,GENERAL
,헌법과인권,U718333,2,GENERAL
,현대경제의기초원리,U741192,2,GENERAL
,현대민주정치의이해,U762912,2,GENERAL
,현대사회와보험,Y211851,2,GENERAL
,현대사회의이해,Y911421,2,GENERAL
,형법의이해,Y211371,2,GENERAL
,대학생을위한심리치료,Y511221,2,GENERAL
,미네르바인성교육,Y512191,2,GENERAL
,현대인의정신건강,U515191,2,GENERAL
,신입생세미나(국제금융학),Y111138,1,GENERAL
,신입생세미나(그리스.불가리아학),Y11112C,1,GENERAL
,신입생세미나(러시아학),Y11112G,1,GENERAL
,신입생세미나(루마니아어),Y111122,1,GENERAL
,신입생세미나(말레이.인도네시아어통번역),Y111119,1,GENERAL
,신입생세미나(바이오메디컬공학),Y111140,1,GENERAL
,신입생세미나(브라질학),Y11112B,1,GENERAL
,신입생세미나(산업경영공학),Y11114E,1,GENERAL
,신입생세미나(생명공학),Y111145,1,GENERAL
,신입생세미나(세르비아.크로아티아어),Y111125,1,GENERAL
,신입생세미나(수학),Y111141,1,GENERAL
,신입생세미나(스페인어통번역),Y111113,1,GENERAL
,신입생세미나(언어인지과학),Y111133,1,GENERAL
,신입생세미나(GBT),Y111139,1,GENERAL
,HUFS Career Design 진로설정과취.창업경력개발,Y121033,1,GENERAL
,4차산업시대와기업취업전략,Y211871,2,GENERAL
,기술사업화사례및실습,U760101,2,GENERAL
,대학생을위한취업전략,Y211621,2,GENERAL
,모의창업기획및실습,Y911205,2,GENERAL
,사회봉사,U721331,2,GENERAL
,사회적기업(소셜벤처)의이해와사례,Y911232,2,GENERAL
,신재생에너지와자원재활용,Y511061,2,GENERAL
,앙트레프레너십의이해,Y911215,2,GENERAL
,여학생취업실전전략,Y511351,2,GENERAL
,용인학입문,U763531,2,GENERAL
,인터넷비즈니스모델의이해,Y911241,2,GENERAL
,지구온난화와녹색성장,U611061,2,GENERAL
,창업실무사례및웹디자인,Y911252,2,GENERAL
,특허와스타트업,Y911371,2,GENERAL
,HUFS Pathfinder(실전취업준비전략) 1,Y211673,2,GENERAL
,드라마로배우는영어,Y711161,2,GENERAL
,드라마일본어1,U711872,2,GENERAL
,문맥으로읽는자연과학용어,Y711411,3,GENERAL
,미디어영어청취,Y711192,2,GENERAL
,실용스페인어기초다지기,Y711221,2,GENERAL
,실용영문법(실외),E011034,2,GENERAL
,실용영어글쓰기,Y711031,2,GENERAL
,애니메이션일본어,U711893,2,GENERAL
,여행중국어,Y711101,2,GENERAL
,영어저널읽기,Y711291,2,GENERAL
,온사이트비즈니스말하기,Y711351,3,GENERAL
,온사이트영어스피킹:사회과학,Y711371,3,GENERAL
,최신트렌드읽기:공학,Y711401,3,GENERAL
,취업역량강화영어:공학/자연과학,Y711431,3,GENERAL
,취업역량강화영어:비즈니스/사회과학,Y711381,3,GENERAL
,취업영어,Y711202,2,GENERAL
,HUFS Survival English 1,Y711013,2,GENERAL
,J-POP일본어,U711913,2,GENERAL
,TED로배우는영어,Y711181,2,GENERAL
,TOEIC듣기,Y711171,2,GENERAL
,외국인을위한고급한국어,U763322,2,GENERAL
,외국인을위한말하기,U763552,2,GENERAL
,외국인을위한한국어1,U763302,2,GENERAL
,외국인을위한한국어2,U763312,2,GENERAL
,초급한국어회화,U764021,2,GENERAL
,스포츠의글로벌문화,U718512,2,GENERAL
,운동과건강,U718562,2,GENERAL
,웰니스를위한신체활동,U516232,2,GENERAL
,웰빙시대의운동과다이어트,Y211563,2,GENERAL
,체육(골프),U761184,1,GENERAL
,체육(농구),U763112,1,GENERAL
,체육(댄스스포츠),U515234,1,GENERAL
