,course,semester,professor,class_time,course_code,room
996,681,13,이은주,월 7 8,B01405402,2404-1
997,682,13,정호준,월 7 8,B01109401,2509
998,682,13,홍병혜,월 3 4,B01109402,1505-1
999,683,13,안연진,월 3 4,B01203701,2407-1
1000,683,13,박창수,월 3 4,B01203702,1505
1001,684,13,이나현,수 3 4,O01213101,1401
1002,684,13,이나현,수 5 6,O01213102,1401
1003,685,13,한정은,월 3 4,O01321101,1401
1004,685,13,한정은,월 5 6,O01321102,1401
1005,685,13,한정은,월 7 8,O01321103,1401
1006,686,13,Zhang Bin,화 5 6,O01124101,1505
1007,686,13,Zhang Bin,목 7 8,O01124102,1505-1
1008,686,13,박창수,목 5 6,O01124103,1505
1009,687,13,최재영,목 7 8,B01373201,1307
1010,688,13,문승용,목 3 4,O01123101,2404-1
1011,688,13,문승용,목 5 6,O01123102,2404-1
1012,689,13,정태요,금 5 6,O01206201,1505
1013,689,13,전세영,금 3 4,O01206202,2509
1014,690,13,윤혜지,월 5 6 수 5 6,B01201501,2403
1015,690,13,이은주,월 5 6 수 5 6,B01201502,2404-1
1016,690,13,정호준,월 5 6 수 5 6,B01201503,2509
1017,691,13,Zhang Bin,화 3 4,O01201201,1505
1018,691,13,Zhang Bin,금 1 2,O01201202,1505
1019,691,13,Zhang Bin,금 3 4,O01201203,1505
1020,691,13,김윤영,금 3 4,O01201204,2509-1
1021,692,13,임미나,월 5 6 목 3 4,O01111401,1505-1
1022,692,13,배경진,월 5 6 목 3 4,O01111402,2509-1
1023,692,13,박창수,월 5 6 목 3 4,O01111403,1505
1024,693,13,전세영,화 3 4,O01324101,2312-1
1025,694,13,전세영,수 3 4,O01313201,2413
1026,695,13,김윤영,목 5 6,O01301501,2403
1027,696,13,이승일,목 7 8 9,R04396101,4216
1028,697,13,이승일,금 4 5 6,V31201101,4419
1029,698,13,한우섭,금 4 5 6,R04101101,4216
1030,699,13,김신,월 4 5 6,V42457101,4404
1031,700,13,송석랑,월 7 8 9,R04202101,4404-1
1032,701,13,윤성우,월 4 5 6,R01311101,4216
1033,702,13,박치완,수 4 5 6,R01322101,4216
1034,703,13,김원명,월 7 8 9,R04102101,4419
1035,704,13,홍성민,화 7 8 9,R01210101,4216
1036,705,13,홍성민,화 4 5 6,V42476101,4216
1037,706,13,박치완,월 4 5 6,R04103101,4419
1038,707,13,김원명,수 7 8 9,R04390101,4216
1039,708,13,윤성우,월 1 2 3,V42477101,4216
1040,709,13,신현주,수 4 5 6,R01423101,4411
1041,710,13,소병선,목 4 5 6,R01204101,4216
1042,711,13,Darina Ivanovova,화 3 4,N12471201,1514
1043,712,13,Darina Ivanovova,목 1 2,N12442101,1514
1044,713,13,Terezia Kulikova,화 1 2,N12349201,1514
1045,714,13,Terezia Kulikova,목 5 6,N12401301,1514
1046,715,13,Terezia Kulikova,수 1 2,N12437101,2303-3
1047,716,13,Terezia Kulikova,금 5 6,N12402301,1514
1048,717,13,Darina Ivanovova,수 1 2,N12225301,1514
1049,717,13,Darina Ivanovova,수 3 4,N12225302,1514
1050,718,13,Darina Ivanovova,월 3 4,N12227201,1514
1051,719,13,PARK LUCIE,금 1 2,N12205201,1514
1052,719,13,PARK LUCIE,금 3 4,N12205202,1514
1053,720,13,송순섭,수 3 4,N12304101,0309
1054,721,13,양준석,월 7 8,N12307101,2311
1055,722,13,양준석,월 5 6,N12474101,2311
1056,723,13,송순섭,수 5 6,N12219101,0309
1057,724,13,유선비,화 5 6,N12353101,1514
1058,725,13,박민영,목 5 6,N12303301,2509
1059,726,13,Darina Ivanovova,월 1,N12107101,1514
1060,726,13,Darina Ivanovova,월 2,N12107102,1514
1061,727,13,유선비,화 7 8 9,N12309201,1514
1062,728,13,유선비,목 7 8,N12124201,1514
1063,729,13,박민영,화 1 2 목 1,N12121201,2307
1064,729,13,박민영,화 3 4 목 2,N12121202,2307
1065,730,13,유선비,월 5 6,N12119201,1514
1066,730,13,유선비,월 7 8,N12119202,1514
1067,731,13,PARK LUCIE,화 5 6,N12115201,2303-3
1068,731,13,PARK LUCIE,화 7 8,N12115202,2303-3
1069,732,13,Darina Ivanovova,목 3 4,N12305101,1514
1070,733,13,김상철,월 3 4 수 5,T01402201,5402
1071,734,13,공준욱,금 7 8 9,T01413101,5310
1072,735,13,정대인,수 1 2 금 3,T05306201,5201
1073,735,13,이재혁,수 1 2 금 3,T05306202,5309
1074,735,13,이재혁,수 3 금 1 2,T05306203,5309
1075,736,13,손기락,화 7 목 7 8,T01312101,5309
1076,737,13,손기락,월 1 2 수 4,T05402201,5309
1077,738,13,정대인,화 8 9 목 6,T04351601,5201
1078,739,13,윤일동,월 7 8 목 4,T01301601,5201
1079,740,13,김승욱,금 7 8 9,T01416101,5309
1080,741,13,최재영,수 3 금 5 6,T01408101,5207
1081,742,13,전병환,화 5 6 목 5,T05479201,5208
1082,743,13,장익범,수 6 금 1 2,T01414101,5310
1083,744,13,김재빈,화 3 목 1 2,V44354401,5405
1084,744,13,김재빈,화 1 2 목 3,V44354402,5405
1085,745,13,Walid Abdullah Al,수 3 금 1 2,T03203301,5402
1086,745,13,박종혁,수 3 금 1 2,T03203302,5201
1087,745,13,Walid Abdullah Al,수 1 2 금 3,T03203303,5402
1088,746,13,김낙현,수 6 금 7 8,T01209301,5201
1089,747,13,김성복,월 3 4 수 5,F02314301,5201
1090,748,13,두일철,수 7 8 9,F05401301,5208
1091,748,13,오세종,수 7 8 9,F05401302,5207
1092,749,13,박종혁,화 1 2 목 3,V44301601,5206
1093,749,13,박종혁,화 3 목 1 2,V44301602,5206
1094,750,13,김상철,월 5 6 목 9,F05462301,5402
1095,751,13,김낙현,수 1 2 금 3,T01412101,5207
1096,752,13,박정윤,월 1 2 수 4,F05301201,5207
1097,752,13,박정윤,월 3 4 수 5,F05301202,5207
1098,753,13,MOHSEN ALI MOHSEN ALAWAMI,월 3 4 수 5,T05476301,5308
1099,754,13,이병도,수 7 8,O05403101,1510
1100,755,13,Wirat Siriwatananawin,목 1 2,B05303101,1510-1
1101,756,13,김수은,화 3 4,O05307101,1510
1102,757,13,이정윤,화 5 6,O05109101,1510
1103,758,13,Wirat Siriwatananawin,월 3 4,O05113101,1510
1104,759,13,정위파펀,목 3 4,O05301101,1510-1
1105,760,13,Larprungrueng Soontaree,목 7 8,O05405101,1510-1
1106,761,13,이준표,월 3 4,B05395101,1510-1
1107,762,13,이정윤,화 1 2,O05305101,1510-1
1108,763,13,Wirat Siriwatananawin,수 3 4,O05303101,1510
1109,764,13,Larprungrueng Soontaree,목 3 4,B05131201,1510
1110,765,13,박경은,수 3 4,B05106201,1510-1
1111,766,13,이병도,수 5 6,O05203101,1510
1112,767,13,Wirat Siriwatananawin,수 1 2,B05302401,1510
1113,768,13,이정윤,목 1 2,O05205101,2507
1114,769,13,Larprungrueng Soontaree,화 3 4,B05127201,1510-1
1115,770,13,박경은,수 5 6,O05111201,1510-1
1116,771,13,Wirat Siriwatananawin,수 7 8,B05301301,1510-1
1117,772,13,Wirat Siriwatananawin,목 5 6,O05207101,1510
1118,773,13,Wirat Siriwatananawin,월 7 8,B05319101,1510
1119,774,13,정위파펀,목 5 6,O05407101,1510-1
1120,775,13,Larprungrueng Soontaree,화 5 6,B05389101,1510-1
1121,776,13,이병도,화 1 2,B05109201,1510
1122,777,13,Larprungrueng Soontaree,화 7 8,O05402201,1510-1
1123,778,13,전혜진,목 5 6,B05385201,1507
1124,779,13,최대우,월 7 8 금 3 4,F10402101,0212
1125,780,13,이석호,월 1 2 수 1 2,F10308101,0302
1126,781,13,이현주,화 7 8 목 5 6,F10357101,0516
1127,782,13,강기훈,화 3 4 목 2,F01459101,0302
1128,782,13,이석호,화 3 4 목 2,F01459102,0301
1129,783,13,강기훈,목 3 4,F10380101,0302
1130,783,13,이석호,목 3 4,F10380102,0301
1131,784,13,신기일,월 3 4 수 3 4,F10301101,0302
1132,785,13,박흥선,화 5 6 목 7 8 (0302),F10307101,5406
1133,786,13,최대우,월 1 금 5 6,F10260101,0214
1134,787,13,신기일,월 5 6,F10415201,0302
1135,788,13,이현주,월 2 수 3 4,F10272201,0209
1136,789,13,이현주,수 5 6,F10252201,0212
1137,790,13,정석오,수 1 2 금 1 2,F10472101,0212
1138,791,13,최대우,화 7 8 목 1,F10106101,0214
1139,792,13,강기훈,월 5 6 목 5 6 (0302),Y81111101,5405
1140,792,13,이태욱,월 5 6 목 5 6 (0207),Y81111102,0212
1141,793,13,박흥선,수 1 2 금 1,F10209101,0209
1142,794,13,박흥선,금 2 3,F10213101,0209
1143,795,13,김지영,금 3 4,N10201101,1314
1144,796,13,김지영,금 5 6,N10201102,1314
1145,797,13,Kang-Bogusz Beata,화 3 4,N10455201,1509
1146,798,13,고승희,월 7 8,N10314101,1314
1147,799,13,Kinga Groszewska,수 7 8,N10465101,1303
1148,800,13,이옥진,수 5 6,N10203201,1314
1149,800,13,이옥진,수 7 8,N10203202,1314
1150,800,13,김지영,화 1 2,N10111201,1314
1151,800,13,김지영,화 3 4,N10111202,1314
1152,801,13,STARNOWSKI MARCIN TADEUSZ,월 1,N10129201,1314
1153,801,13,STARNOWSKI MARCIN TADEUSZ,월 2,N10129202,1314
1154,802,13,STARNOWSKI MARCIN TADEUSZ,월 3 4,N10213101,1303
1155,803,13,Kang-Bogusz Beata,월 3 4,N10107301,1314
1156,803,13,Kang-Bogusz Beata,월 5 6,N10107302,1314
1157,804,13,고승희,목 1 2,N10127201,1314
1158,804,13,고승희,목 3 4,N10127202,1314
1159,805,13,Kinga Groszewska,수 1 2,N10108301,1314
1160,805,13,Kinga Groszewska,수 3 4,N10108302,1314
1161,806,13,김종석,월 1 2,N10211301,1302
1162,806,13,김종석,월 3 4,N10211302,1302
1163,807,13,Kinga Groszewska,화 5 6,N10379101,1314
1164,808,13,STARNOWSKI MARCIN TADEUSZ,목 5 6,N10214101,1409-1
1165,809,13,김종석,수 1 2 3,N10441101,1309
1166,810,13,이옥진,목 5 6,N10133101,1206
1167,811,13,최용호,화 1 2,N02414101,1308
1168,812,13,김모세,수 3 4 금 3,A02215301,1308
1169,813,13,Severine Stoeckle,월 5 6 수 5 6,A02217901,2508-1
1170,813,13,Severine Stoeckle,월 7 8 금 5 6,A02217902,2508-1
1171,814,13,김모세,월 7 8 목 7 8,A02147701,1308
1172,815,13,Jean-Baptiste Causse,월 1 2 목 3 4,A02149901,2415
1173,815,13,Jean-Baptiste Causse,월 3 4 목 1 2,A02149902,2415
1174,816,13,김응운,수 5 6,N02401101,1303
1175,817,13,신정아,목 5 6,N02101101,1303
1176,818,13,신정아,화 3 4,A02320101,1309
1177,819,13,최용호,월 1 2,N02313101,1308
1178,820,13,김모세,월 3 4,N02105101,1308
1179,821,13,Jean-Baptiste Causse,월 5 6,N02307101,2415
1180,821,13,Severine Stoeckle,목 5 6,N02307102,2306
1181,821,13,Severine Stoeckle,목 7 8,N02307103,2306
1182,822,13,이향,화 7 8,A02213301,1303
1183,823,13,이향,수 7 8,N02314101,1308
1184,824,13,권서원,화 5 6,N02306101,1308
1185,825,13,신정아,목 1 2,N02301101,1308
1186,826,13,김응운,화 7 8,N02103101,1308
1187,827,13,김응운,화 3 4,N02202201,1308
1188,828,13,김모세,목 5 6,N02117301,1308
1189,829,13,김모세,수 5 6,N02311101,1308
1190,830,13,최현희,수 1 2 3,O15311101,1409-2
1191,831,13,유현정,금 1 2 3,O15125101,2313
1192,832,13,이수정,금 7 8 9,O15144101,1303
1193,833,13,Lee Joo Young,금 4 5 6,O15303101,1409-2
1194,834,13,최현희,월 10,O15158201,1409-2
1195,835,13,Lee Joo Young,수 4 5 6,O15120101,1409-2
1196,836,13,유현정,금 4 5 6,O15304101,2313
1197,837,13,이수정,목 4 5 6,O15310101,2506
1198,838,13,이수정,목 1 2 3,O15203101,2506
1199,839,13,김태우,수 7 8,O15212101,1409-2
1200,840,13,김태우,수 10,O15404201,1409-2
1201,841,13,황지현,화 4 5 6,O15152101,1409-2
1202,842,13,김태우,월 7 8 9,O15101201,2504
1203,843,13,황지현,화 7 8 9,O15207101,1409-2
1204,844,13,최현희,화 1 2 3,O15128101,1409-2
1205,845,13,Lee Joo Young,월 4 5 6,O15133101,2506
1206,846,13,김태우,화 4 5 6,O15127101,2506
1207,847,13,Borsos Levente,수 3 4,N13318101,1512
1208,848,13,Borsos Levente,수 1 2,N13307201,1512
1209,849,13,송은지,수 5 6,N13327101,2409
1210,850,13,김신형,월 7 8 목 5,N13104201,1512
1211,850,13,김신형,월 3 4 목 6,N13104202,1512
1212,851,13,유진일,화 3 4,N13201101,1303
1213,851,13,이상동,화 7 8,N13201102,2303-2
1214,852,13,Borsos Levente,목 1 2,N13106201,1512
1215,852,13,Borsos Levente,목 3 4,N13106202,1512
1216,853,13,Borsos Levente,월 1 2,N13121201,1512
1217,853,13,Borsos Levente,월 5 6,N13121202,1512
1218,854,13,이상동,월 4 수 1 2,N13103101,2306
1219,854,13,이상동,월 3 수 3 4,N13103102,2306
1220,855,13,한경민,화 3 4,N13123101,1512
1221,855,13,한경민,화 1 2,N13123102,1512
1222,856,13,BULYAKI ILDIKO AGNES,금 1 2,N13105201,1512
1223,856,13,BULYAKI ILDIKO AGNES,금 3 4,N13105202,1512
1224,857,13,유진일,화 5 6,N13110201,2417
1225,858,13,한경민,수 7 8,N13365201,1512
1226,859,13,송은지,수 7 8,N13203101,2409
1227,860,13,문승남,화 5 6,N13205101,1512
1228,861,13,문승남,화 7 8,N13482101,1512
1229,862,13,Borsos Levente,목 7 8,N13325101,1512
1230,863,13,오정욱,월 3 4 수 6,F03320101,0402
1231,864,13,김용애,화 2 수 5 6,F03406101,3411
1232,865,13,박진균,월 5 금 5 6,F03402101,0402
1233,866,13,은창선,월 7 목 4 5,F03302101,5207
1234,867,13,은창선,화 6 7 8,F03304101,3413
1235,867,13,은창선,목 6 7 8,F03304102,3413
1236,868,13,오정욱,월 6 수 3 4,F03206101,0516
1237,869,13,김해조,화 1 목 1 2,F03480101,0402
1238,870,13,김용애,화 3 4 수 7,F09361101,0516
1239,871,13,김용애,화 9 10 11,F03319101,3411
1240,872,13,하현준,월 5 화 1 2,F03214101,0301
1241,872,13,김해조,화 2 수 1 2,F03214102,0402
1242,873,13,하현준,수 5 6 7 8,F03200101,3511
1243,873,13,김해조,금 5 6 7 8,F03200102,3511
1244,874,13,하현준,월 7 8 화 4,F03453101,3112
