major_id,major_type,course_type,required_credits,track,applies_from_year,applies_to_year
11,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
11,,GENERAL,32,INTENSIVE_SOLO,2023,2024
12,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
12,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
12,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
12,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
12,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
12,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
12,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
12,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
12,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
12,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
12,,GENERAL,32,INTENSIVE_SOLO,2023,2024
13,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
13,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
13,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
13,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
13,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
13,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
13,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
13,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
13,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
13,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
13,,GENERAL,32,INTENSIVE_SOLO,2023,2024
14,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
14,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
14,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
14,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
14,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
14,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
14,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
14,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
14,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
14,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
14,,GENERAL,32,INTENSIVE_SOLO,2023,2024
15,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
15,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
15,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
15,PRIMARY,MAJOR,70,PRIMARY_WITH_MINOR,2023,2024
15,MINOR,MAJOR,21,PRIMARY_WITH_MINOR,2023,2024
15,,GENERAL,32,PRIMARY_WITH_MINOR,2023,2024
15,PRIMARY,MAJOR,78,INTENSIVE_WITH_MINOR,2023,2024
15,MINOR,MAJOR,21,INTENSIVE_WITH_MINOR,2023,2024
15,,GENERAL,32,INTENSIVE_WITH_MINOR,2023,2024
15,PRIMARY,MAJOR,78,INTENSIVE_SOLO,2023,2024
15,,GENERAL,32,INTENSIVE_SOLO,2023,2024
16,PRIMARY,MAJOR,70,PRIMARY_WITH_DOUBLE,2023,2024
16,DOUBLE,MAJOR,42,PRIMARY_WITH_DOUBLE,2023,2024
16,,GENERAL,32,PRIMARY_WITH_DOUBLE,2023,2024
