major_id,course_id,major_type,applies_from_year,applies_to_year
37,477,DOUBLE,,
61,492,DOUBLE,,
61,493,DOUBLE,,
61,494,DOUBLE,,
21,507,DOUBLE,,
21,508,DOUBLE,,
21,509,DOUBLE,,
21,510,DOUBLE,,
21,511,DOUBLE,,
21,512,DOUBLE,,
21,513,DOUBLE,,
33,522,DOUBLE,,
33,523,DOUBLE,,
33,524,DOUBLE,,
33,525,DOUBLE,,
33,526,DOUBLE,,
33,527,DOUBLE,,
10,540,DOUBLE,,
10,541,DOUBLE,,
10,542,DOUBLE,,
10,543,DOUBLE,,
10,544,DOUBLE,,
24,550,DOUBLE,,
24,551,DOUBLE,,
24,552,DOUBLE,,
3,556,DOUBLE,,
3,557,DOUBLE,,
3,558,DOUBLE,,
3,559,DOUBLE,,
25,575,DOUBLE,,
25,576,DOUBLE,,
25,577,DOUBLE,,
25,578,DOUBLE,,
25,579,DOUBLE,,
11,597,DOUBLE,,
11,598,DOUBLE,,
11,599,DOUBLE,,
11,600,DOUBLE,,
29,613,DOUBLE,,
29,614,DOUBLE,,
29,615,DOUBLE,,
29,616,DOUBLE,,
13,631,DOUBLE,,
13,632,DOUBLE,,
13,633,DOUBLE,,
13,634,DOUBLE,,
13,635,DOUBLE,,
13,636,DOUBLE,,
13,637,DOUBLE,,
63,649,DOUBLE,,
63,650,DOUBLE,,
63,651,DOUBLE,,
63,652,DOUBLE,,
63,653,DOUBLE,,
63,654,DOUBLE,,
40,658,DOUBLE,,
40,659,DOUBLE,,
40,660,DOUBLE,,
40,661,DOUBLE,,
40,662,DOUBLE,,
40,663,DOUBLE,,
12,685,DOUBLE,,
12,686,DOUBLE,,
12,687,DOUBLE,,
12,688,DOUBLE,,
12,689,DOUBLE,,
12,690,DOUBLE,,
12,691,DOUBLE,,
1,697,DOUBLE,,
1,698,DOUBLE,,
1,699,DOUBLE,,
1,700,DOUBLE,,
19,715,DOUBLE,,
19,716,DOUBLE,,
19,717,DOUBLE,,
19,718,DOUBLE,,
19,719,DOUBLE,,
39,735,DOUBLE,,
39,736,DOUBLE,,
39,737,DOUBLE,,
39,738,DOUBLE,,
39,739,DOUBLE,,
39,740,DOUBLE,,
39,741,DOUBLE,,
39,742,DOUBLE,,
39,743,DOUBLE,,
39,744,DOUBLE,,
16,757,DOUBLE,,
16,758,DOUBLE,,
16,759,DOUBLE,,
16,760,DOUBLE,,
16,761,DOUBLE,,
34,779,DOUBLE,,
34,780,DOUBLE,,
34,781,DOUBLE,,
34,782,DOUBLE,,
34,783,DOUBLE,,
34,784,DOUBLE,,
17,800,DOUBLE,,
17,801,DOUBLE,,
17,802,DOUBLE,,
17,803,DOUBLE,,
17,804,DOUBLE,,
17,805,DOUBLE,,
27,813,DOUBLE,,
27,814,DOUBLE,,
27,815,DOUBLE,,
27,816,DOUBLE,,
27,817,DOUBLE,,
26,838,DOUBLE,,
26,839,DOUBLE,,
26,840,DOUBLE,,
26,841,DOUBLE,,
26,842,DOUBLE,,
20,853,DOUBLE,,
20,854,DOUBLE,,
20,855,DOUBLE,,
20,856,DOUBLE,,
20,857,DOUBLE,,
38,867,DOUBLE,,
38,868,DOUBLE,,
38,869,DOUBLE,,
38,870,DOUBLE,,
38,871,DOUBLE,,
8,880,DOUBLE,,
8,881,DOUBLE,,
8,882,DOUBLE,,
60,890,DOUBLE,,
60,891,DOUBLE,,
60,892,DOUBLE,,
60,893,DOUBLE,,
60,894,DOUBLE,,
9,906,DOUBLE,,
9,907,DOUBLE,,
9,908,DOUBLE,,
9,909,DOUBLE,,
9,910,DOUBLE,,
6,919,DOUBLE,,
6,920,DOUBLE,,
7,926,DOUBLE,,
7,927,DOUBLE,,
