name
대학외국어
미네르바인문
RC영어
소프트웨어기초
COLLEGE ENGLISH
마이크로디그리(영어)
언어와문학
문화와예술
역사와철학
과학과기술
인간과사회
인성교육
HUFS CAREER
미래시뮬레이션
실용외국어(선택)
외국인을 위한 한국학
생활과스포츠
군사학
핵심인문기초
신입생세미나
